藥局名稱,地址,X,Y
新大明藥局,八德區大明街21號1樓,24.9690936,121.2959437
興豐藥局,八德區介壽路2段1175號,24.9316916,121.2975445
嘉家藥局,八德區介壽路一段782號,24.9630218,121.2999713
環球聯合藥局,八德區介壽路一段831號,24.9617315,121.3000994
宏昌藥局,八德區介壽路一段890號,24.9599183,121.2993639
悅康藥局,八德區介壽路一段916號,24.9593532,121.2993068
新寶樹藥局,八德區介壽路一段974號,24.958027,121.2991712
佳美大藥局,八德區介壽路一段六八八號,24.9646162,121.3004256
健民大藥局,八德區介壽路二段282號,24.9500267,121.2976937
博泰藥局,八德區介壽路二段982號,24.93405,121.2972305
厚仁藥局,八德區永福街11號,24.962682,121.3008044
誠泰藥局,八德區東勇街51-2號,24.961958,121.306655
壽德藥局,八德區桃德路八十四號,24.9701606,121.2958506
晨鴻藥師藥局,八德區桃鶯路7號1樓,24.9718147,121.3264353
鶯康藥局,八德區桃鶯路95號,24.9704578,121.3282275
大千中西藥師藥局,八德區高城二街9巷22號,24.9790842,121.2756723
家恩藥局,八德區陸光街45-1號,24.9612745,121.297508
吉康生活藥局,八德區義勇街120號,24.96344,121.304446
第二店廣福藥局,八德區廣福路91號,24.9590959,121.2969197
和生藥局,八德區興豐路588號,24.9305111,121.2934982
永固安藥局,大園區中山南路56號,25.0628045,121.1976363
園正藥局,大園區中正東路75號,25.0631277,121.2003114
銘方大藥局,大園區中華路32號,25.0664857,121.1982026
大園藥局,大園區中華路49號,25.066773,121.198088
唯新藥局,大園區忠孝一街11號,25.065851,121.197726
?林村藥局,大園區果林路100號,25.0753442,121.2586152
青埔長青藥師藥局,大園區新生路4段251號,25.0666877,121.19857
永耘藥局,大溪區介壽路64號,24.922425,121.294669
德安堂藥局,大溪區介壽路892號,24.9003,121.2837586
欣康藥局,大溪區員林路2段390-6號,24.8840957,121.2677094
資生大藥局,大溪區康莊路132號,24.8814182,121.2880172
大溪藥局,大溪區康莊路160號,24.8808181,121.2885907
中壢聯合藥局,中壢區大同路131號,24.9566776,121.2221326
全國大藥局,中壢區中山東路二段133號,24.9531632,121.2393621
日進藥局,中壢區中山東路二段156號,24.9526887,121.2393252
中壢環東藥局,中壢區中山東路二段193號,24.9521351,121.2401191
全球永美大藥局,中壢區中山東路二段530號1至2樓,24.9469766,121.245483
仁德堂藥局,中壢區中山路481號,24.9568867,121.2154038
佳愷藥局,中壢區中北路47號,24.9561115,121.2367599
慧康藥局,中壢區中北路二段101號1樓,24.9512185,121.2255204
祥合藥局,中壢區中北路二段431號,24.9542877,121.2320972
中日大藥局,中壢區中北路二段78號,24.9506357,121.2251583
佳佳藥局,中壢區中央西路二段210號1樓,24.9601372,121.2128783
中國藥師藥局,中壢區中央西路二段34號,24.9582752,121.2175246
生富藥師藥局,中壢區中央西路二段76號,24.9585094,121.2162249
劉藥局,中壢區中平路169號,24.9558345,121.2219228
中壢中正藥局,中壢區中正路363號,24.95535,121.2162657
家佳聯合藥局,中壢區中光路14號,24.9571212,121.2257355
領耀大藥局,中壢區元化路97號1F,24.9584047,121.2282622
大和藥局,中壢區元化路二段27號,24.962246,121.222133
崧德堂藥局,中壢區文化路362號,24.9791929,121.250791
中民社區藥局,中壢區民族路二段182號,24.9574517,121.2036348
中壢民權藥局,中壢區民權路326號328號,24.9628709,121.217758
新生藥師藥局,中壢區民權路52號,24.9561573,121.2173498
自立藥局,中壢區永福路1013號,24.9642719,121.2523209
鈞育藥局,中壢區吉林路127號,24.9836872,121.2503925
立昇藥局,中壢區成功路123號,24.9760265,121.2596288
慧中健保藥局,中壢區成章二街141號,24.980304,121.2568637
得群藥局,中壢區自強六路42號,24.9740756,121.2480189
天晟社區藥局,中壢區延平路151號,24.9628043,121.2293108
宏奇藥局,中壢區延平路249號,24.9614111,121.2271218
