地區,承辦單位,名稱,地址,Y,X
平鎮區,社團法人桃園市社會教育協進會,桃園市平鎮區樂齡學習中心,桃園市平鎮區和平路190號3樓,24.9463066,121.2196403
中壢區,桃園市樂活領航教育學會,桃園市中壢區樂齡學習中心,320桃園市中壢區永樂路21號,24.953036,121.2226428
蘆竹區,頂社國小,桃園市蘆竹區樂齡學習中心,桃園市蘆竹區山林路3段232號,25.0779962,121.3201838
八德區,社團法人桃園市成人暨社區教育推廣協會,桃園市八德區樂齡學習中心,桃園市八德區介壽路2段933巷40號,24.9355998,121.2986237
大園區,大園國小,桃園市大園區樂齡學習中心,桃園市大園區中山南路351號,25.059103,121.2026454
龜山區,大崗國小,桃園市龜山區樂齡學習中心,桃園市龜山區大湖一路175號,25.0519758,121.3584666
龍潭區,武漢國小,桃園市龍潭區樂齡學習中心,桃園市龍潭區武漢路100號,24.8712085,121.2342659
觀音區,育仁國小,桃園市觀音區樂齡學習中心,桃園市觀音區育仁路二段1號,25.0132163,121.102518
大溪區,田心國小,桃園市大溪區樂齡學習中心,桃園市大溪區文化路120號,24.8808439,121.2922744
楊梅區,富岡國小,桃園市楊梅區樂齡學習中心,桃園市楊梅區豐野里中正路147號,24.9242108,121.1366715
桃園區,桃園市教育志工聯盟,桃園市桃園區樂齡學習中心,桃園市桃園區永安路1054號,25.0092683,121.2871438
復興區,羅浮國小,桃園市復興區樂齡學習中心,桃園市復興區羅浮村3鄰16號,24.797705,121.360962
新屋區,桃園市樂齡發展協會,桃園市新屋區樂齡學習中心,327桃園市新屋區中正路 110巷9號,24.9761942,121.1044425
