設立單位類型,服務里別,地點,地址,Latitude,Longitude
其他(人民團體、社區發展協會、學校),同安里、新埔里、自強里、寶安里、莊敬里,桃園市桃園區同安社區發展協會,桃園市桃園區同安里同安街455巷1弄1號,25.0197582,121.3002576
里辦公處,寶慶里,桃園市桃園區寶慶里辦公處,桃園市桃園區寶慶里同德三街52號之一及同德五街300號對面槌球場,25.0113133,121.2945279
里辦公處,泰山里、中原里、玉山里,桃園市桃園區泰山里辦公處,桃園市桃園區泰山里宏昌六街19巷96號,24.9889999,121.2996942
里辦公處,龍壽里,桃園市桃園區龍壽里辦公處,桃園市桃園區龍壽里龍泉六街68號1樓,24.9837677,121.2716859
里辦公處,三民里、萬壽里、東山里,桃園市桃園區三民里辦公處,桃園市桃園區三民里中山東路128號,24.9976481,121.3207338
里辦公處,中原里、中山里、中平里,桃園市桃園區中原里辦公處,桃園市桃園區中原里泰昌六街45號1樓及桃園市桃園區中原里18鄰宏昌七街74號,24.9869643,121.2945563
里辦公處,汴洲里、春日里、自強里,桃園市桃園區汴洲里辦公處,桃園市桃園區汴洲里峨嵋二街26號,24.6788411,120.9991032
其他(人民團體、社區發展協會、學校),中埔里,桃園市社區文化推廣協會,桃園市桃園區中埔里天台街1巷7號,25.0077891,121.2898277
其他(人民團體、社區發展協會、學校),中路里、中正里、文中里、中平里、中山里,桃園市中路交流協會,桃園市桃園區中路里中山路710號,24.9913582,121.2935457
其他(人民團體、社區發展協會、學校),龍祥里,桃園市龍祥關愛協會,桃園市桃園區龍祥里11鄰中山路1308巷261號,24.9853698,121.2739265
其他(人民團體、社區發展協會、學校),中正里、中山里、文中里、中成里、中興里、光興里、泰山里、中平里,財團法人真耶穌教會臺灣總會桃園分會,桃園市桃園區中正里仁愛路21號,24.9936347,121.2942896
其他(人民團體、社區發展協會、學校),中成里,桃園市明聖社區促進會,桃園市桃園區中成里永佳街126號,25.0060333,121.2814586
其他(人民團體、社區發展協會、學校),莊敬里、自強里,桃園市桃園區莊敬社區發展協會,桃園市桃園區新埔七街169巷13號,25.0217578,121.2998944
其他(人民團體、社區發展協會、學校),南門里、南華里、西湖里、西門里,桃園市桃園區南門社區發展協會,桃園市桃園區南門里三民路三段268號,24.990875,121.306407
其他(人民團體、社區發展協會、學校),福林里、豐林里,桃園市桃園區陽明社區發展協會,桃園市桃園區福林里陽明三街33號2樓,24.979651,121.3070234
其他(人民團體、社區發展協會、學校),朝陽里,桃園市桃園區朝陽社區發展協會,桃園市桃園區朝陽里朝陽街63號,24.9979292,121.3129333
其他(人民團體、社區發展協會、學校),豐林里,桃園市桃園區豐林社區發展協會,桃園市桃園區三民路三段459號,24.9869495,121.3073196
其他(人民團體、社區發展協會、學校),忠義里、福元里、大業里,桃園市桃園區福元社區發展協會,桃園市桃園忠義里福元街135號,25.0053633,121.318356
其他(人民團體、社區發展協會、學校),中正里,桃園市向陽社會服務協會,桃園市桃園區中正里縣府路256巷5弄4號,24.9934696,121.2987236
其他(人民團體、社區發展協會、學校),中正里、中平里、中泰里、中聖里,桃園市新生活文化推廣協會,桃園市桃園區中聖里宏昌六街316號,24.9868147,121.2889218
其他(人民團體、社區發展協會、學校),青溪里、成功里、東門里,桃園市桃園區小檜溪社區發展協會,桃園市桃園區清溪里鎮撫街41號,24.9981991,121.3144654
其他(人民團體、社區發展協會、學校),豐林里,財團法人桃園市優勝地社會福利基金會,桃園市桃園區豐林里介壽路352號1樓,24.979899,121.304885
其他(人民團體、社區發展協會、學校),新埔里,桃園市桃園區新埔社區發展協會,桃園市桃園區新埔里南通路65號,25.0200494,121.3055322
其他(人民團體、社區發展協會、學校),會稽里、大有里、寶山里,桃園市桃園區大檜溪社區發展協會,桃園市桃園區檜稽里興一街65巷50號,25.0232888,121.3085205
其他(人民團體、社區發展協會、學校),三民里、成功里、萬壽里、三元里、朝陽里、建國里、青溪里,財團法人天主教德來會,桃園市桃園區三民里三民路一段2號,24.9964566,121.3233068
其他(人民團體、社區發展協會、學校),文化里,社團法人桃園市全人生命教育協會,桃園市桃園區文化里中華路49號,24.9907663,121.3105851
其他(人民團體、社區發展協會、學校),中山里、中平里、中聖里,社團法人台灣樂活服務發展協會,桃園市桃園區中山里中平路98號18樓,24.9878875,121.2927033
其他(人民團體、社區發展協會、學校),瑞慶里,桃園市桃園區同德社區發展協會,桃園市桃園區瑞慶里永安北路500號2樓,25.0194769,121.2925425
其他(人民團體、社區發展協會、學校),龍安里、龍鳳里、龍岡里,桃園市桃園區龍岡社區發展協會,桃園市桃園區龍鳳里國豐二街6號,24.9895262,121.2808714
其他(人民團體、社區發展協會、學校),中山里、中泰里、中平里、中原里、中聖里,桃園市桃園區五中社區發展協會,桃園市桃園區中平路118號、桃園區國聖一街192號,24.9866148,121.2928435
其他(人民團體、社區發展協會、學校),光興里、泰山里,桃園市加利利愛鄰全人關懷協會,桃園市桃園區光興里縣府路332號4樓,24.9921541,121.3008535
其他(人民團體、社區發展協會、學校),中寧里、慈文里、同安里,社團法人桃園市社會服務關懷協會(中寧據點),桃園市桃園區中寧里同德二街189巷3號1樓,25.0096061,121.2991646
其他(人民團體、社區發展協會、學校),桃園區、中德里、八德區、大同里,財團法人桃園市護國宮愛心基金會,桃園市桃園區中德里國際路一段401巷123號,24.966487,121.2891798
其他(人民團體、社區發展協會、學校),中和里,財團法人天主教德來會（認知休憩站）,桃園市桃園區永樂街147號,24.9990745,121.3092803
其他(人民團體、社區發展協會、學校),中信里,桃園市失智症關懷協會（認知休憩站）,桃園市桃園區中山路1000號,24.9885825,121.2853091
其他(人民團體、社區發展協會、學校),大正里、大福里,桃園市八德區正福社區發展協會,桃園市八德區大福街29號,24.9746067,121.3009824
其他(人民團體、社區發展協會、學校),茄明里、高城里,桃園市八德區明光福德協會,桃園市八德區明光街8巷1號、中華路27號,24.9840368,121.2794491
其他(人民團體、社區發展協會、學校),大強里,桃園市德強愛心關懷協會,桃園市八德區東勇街490巷288號,24.9706815,121.3146065
其他(人民團體、社區發展協會、學校),高明里、高城里、永豐里,桃園市八德區愛心關懷發展協會,桃園市八德區永豐路572巷19號,24.9759173,121.2720134
其他(人民團體、社區發展協會、學校),白鷺里、茄苳里,桃園市八德區白鷺社區發展協會,桃園市八德區永豐路170號,24.965179,121.2786505
其他(人民團體、社區發展協會、學校),廣興里、廣德里,桃園市八德區廣興社區發展協會,桃園市八德區廣興路643號,24.9469812,121.2835513
其他(人民團體、社區發展協會、學校),茄明里,桃園市八德區茄明社區發展協會,桃園市八德區茄明里中華路27號,24.9863914,121.2818339
其他(人民團體、社區發展協會、學校),大明里、大仁里、大湖里、鶯歌區鳳祥里、鶯歌區鳳鳴里、鶯歌區鳳福里,桃園市八德區明仁社區發展協會,桃園市八德區大明里興隆街11巷8號,24.9674124,121.3271327
其他(人民團體、社區發展協會、學校),大興里、大華里、大順里、大昌里、大愛里,桃園市八德區大興社區發展協會,桃園市八德區介壽路二段361巷96號,24.9470509,121.299837
其他(人民團體、社區發展協會、學校),大安里、大竹里,桃園市八德區大安社區發展協會, 桃園市八德區建安街110號(第二活動中心),24.9570859,121.3127737
里辦公處,瑞祥里,桃園市八德區瑞祥里辦公處,桃園市八德區介壽路二段1233巷46-1號,24.9302426,121.2991575
里辦公處,大千里,桃園市八德區大千里辦公處,桃園市八德區大千里東勇街19巷5號、桃園市八德區永福街一段74巷8號,24.960359,121.3063101
里辦公處,大勇里,桃園市八德區大勇里辦公處,桃園市八德區大勇里自強街60號(健促)、桃園市八德區大勇里忠勇街425號(共餐)、桃園市八德區大勇里忠勇街424巷63弄202號(大型活動),24.9676743,121.3035374
其他(人民團體、社區發展協會、學校),大信里,桃園市八德區榮光服務協會,桃園市八德區大信里大興路1025號,24.9366555,121.302581
其他(人民團體、社區發展協會、學校),高城里、高明里、永豐里、桃園區龍祥里、中壢區普忠里,社團法人台灣多元社會福利協會,桃園市八德區高城里高城六街73號,24.9783719,121.272848
其他(人民團體、社區發展協會、學校),大漢里、大義里、大勇里,桃園市八德區大漢社區發展協會,桃園市八德區大漢里東勇一路51號,24.9641465,121.3049146
其他(人民團體、社區發展協會、學校),瑞泰里、瑞德里、瑞發里、大順里,桃園市八德區瑞泰社區發展協會,桃園市八德區瑞泰里2鄰介壽路2段583巷12號,24.94165,121.298272
其他(人民團體、社區發展協會、學校),大成里、大慶里,桃園市八德區大成社區發展協會,桃園市八德區大成里建國路1199號2樓,24.9576953,121.2987409
其他(人民團體、社區發展協會、學校),陸光里、大智里,桃園市陸光關懷協會,桃園市八德區陸光里陸光街50巷1號1樓,24.961571,121.29728
