地區,無障礙廁所名稱,地址,Latitude,Longitude,公廁類型
復興區,大灣公廁女廁,復興區羅浮村大灣,24.761686,121.34299,觀光地區及風景區
復興區,大灣公廁男廁,復興區羅浮村大灣,24.761686,121.34299,觀光地區及風景區
復興區,拉拉山風景特定區上巴陵派出所旁無障礙廁所,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景特定區上巴陵派出所旁女廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景特定區上巴陵派出所旁男廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景特定區下巴陵停車場女廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景特定區下巴陵停車場男廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景旅遊服務中心女廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,拉拉山風景旅遊服務中心男廁,復興區華陵村7鄰巴陵29號,24.678931,121.383178,觀光地區及風景區
復興區,小烏來風景特定區森林步道入口無障礙廁所,復興區義盛村,24.770514,121.398578,觀光地區及風景區
復興區,仁愛停車場無障礙廁所,桃園市復興區澤仁村仁愛路,24.8196474,121.3527567,公家機關設置供民眾使用者
復興區,仁愛停車場女廁,桃園市復興區澤仁村仁愛路,24.8196474,121.3527567,公家機關設置供民眾使用者
復興區,仁愛停車場男廁,桃園市復興區澤仁村仁愛路,24.8196474,121.3527567,公家機關設置供民眾使用者
復興區,復興鄉歷史博物館1F無障礙廁所,復興區澤仁村中正路178號,24.8188003,121.3513487,文化育樂活動場所
復興區,復興鄉歷史博物館1F女廁,復興區澤仁村中正路178號,24.8188003,121.3513487,文化育樂活動場所
復興區,復興鄉歷史博物館1F男廁,復興區澤仁村中正路178號,24.8188003,121.3513487,文化育樂活動場所
復興區,中正圖書館大樓公廁2F男女廁,復興區澤仁村中正路178號,24.8188003,121.3513487,各級社教機關
復興區,中正圖書館大樓公廁1F男女廁,復興區澤仁村中正路178號,24.8188003,121.3513487,各級社教機關
